Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Aruba,2018,World,Raw materials,Import,Import(US$ Mil),128.5830225
Aruba,2018,World,Intermediate goods,Import,Import(US$ Mil),109.745627
Aruba,2018,World,Consumer goods,Import,Import(US$ Mil),795.4193194
Aruba,2018,World,Capital goods,Import,Import(US$ Mil),207.8377049
Aruba,2018,World,All Products,Export,Exports (in US$ Mil),69.76273687
Aruba,2018,World,All Products,Import,Imports (in US$ Mil),1257.869571
Aruba,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),161625.9872
Aruba,2018,...,...,Tariff,No. Of Tariff Agreement,1
Aruba,2018,...,...,Import,No. Of Import partners,20
Aruba,2018,...,...,Import,No. Of Import products,3415
Aruba,2018,...,...,Export,No. Of Export partners,6
Aruba,2018,...,...,Export,No. Of Export products,960
Aruba,2018,...,...,Others,Population,105845
Aruba,2018,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,52.2196
Aruba,2018,Colombia,All Products,Export,Partner share(%)-Top 5 Export Partner,20.9746
Aruba,2018,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,17.9455
Aruba,2018,Venezuela,All Products,Export,Partner share(%)-Top 5 Export Partner,4.0737
Aruba,2018,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,4.031
Aruba,2018,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,53.9617
Aruba,2018,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,23.4983
Aruba,2018,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9144
Aruba,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,2.2787
Aruba,2018,Panama,All Products,Import,Partner share(%)-Top 5 Import Partner,2.044
Aruba,2018,World,Animal,Export,Export Product share(%),0.555
Aruba,2018,World,Vegetable,Export,Export Product share(%),0.3757
Aruba,2018,World,Food Products,Export,Export Product share(%),40.7169
Aruba,2018,World,Minerals,Export,Export Product share(%),0.0108
Aruba,2018,World,Fuels,Export,Export Product share(%),0.0591
Aruba,2018,World,Chemicals,Export,Export Product share(%),9.0304
Aruba,2018,World,Plastic or Rubber,Export,Export Product share(%),0.8307
Aruba,2018,World,Hides and Skins,Export,Export Product share(%),0.3768
Aruba,2018,World,Wood,Export,Export Product share(%),1.1109
Aruba,2018,World,Textiles and Clothing,Export,Export Product share(%),0.9786
Aruba,2018,World,Footwear,Export,Export Product share(%),0.679
Aruba,2018,World,Stone and Glass,Export,Export Product share(%),12.2764
Aruba,2018,World,Metals,Export,Export Product share(%),8.0232
Aruba,2018,World,Mach and Elec,Export,Export Product share(%),5.1901
Aruba,2018,World,Transportation,Export,Export Product share(%),3.1899
Aruba,2018,World,Miscellaneous,Export,Export Product share(%),16.5964
Aruba,2018,World,Raw materials,Export,Export Product share(%),6.6575
Aruba,2018,World,Intermediate goods,Export,Export Product share(%),2.8195
Aruba,2018,World,Consumer goods,Export,Export Product share(%),73.1695
Aruba,2018,World,Capital goods,Export,Export Product share(%),9.6934
Aruba,2018,World,Raw materials,Import,Import Product share(%),10.2223
Aruba,2018,World,Intermediate goods,Import,Import Product share(%),8.7247
Aruba,2018,World,Consumer goods,Import,Import Product share(%),63.2354
Aruba,2018,World,Capital goods,Import,Import Product share(%),16.523
Aruba,2018,World,Raw materials,Tariff,Weighted Average (%),1.080375842
Aruba,2018,World,Intermediate goods,Tariff,Weighted Average (%),7.354333198
Aruba,2018,World,Consumer goods,Tariff,Weighted Average (%),11.49724473
Aruba,2018,World,Capital goods,Tariff,Weighted Average (%),12.46099032
Aruba,2018,World,All Products,Trade Indicator,World Growth (%),3.499290229
Aruba,2018,World,All Products,Trade Indicator,Country Growth (%),-15.22077247
Aruba,2018,World,All Products,Tariff,Simple Average (%),10.01084931
Aruba,2018,World,All Products,Tariff,Weighted Average (%),10.14913456
Aruba,2018,World,All Products,Tariff,Maximum Rate (%),220.6885986
Aruba,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),8.766660409
Aruba,2018,...,...,Trade Indicator,Index of export market penetration,1.253109067
Aruba,2018,...,...,Trade Indicator,HH Market concentration index,0.326495164
Afghanistan,2018,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,758.2179066
Afghanistan,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,718.9392999
Afghanistan,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,56.82016936
Afghanistan,2018,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,44.04121682
Afghanistan,2018,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,40.53843072
Afghanistan,2018,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2528.334952
Afghanistan,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2331.863504
Afghanistan,2018,Pakistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2173.702216
Afghanistan,2018,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1581.507695
Afghanistan,2018,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1107.897417
Afghanistan,2018,World,Animal,Export,Export(US$ Mil),9.64789334
Afghanistan,2018,World,Vegetable,Export,Export(US$ Mil),1374.539958
Afghanistan,2018,World,Food Products,Export,Export(US$ Mil),13.20907966
Afghanistan,2018,World,Minerals,Export,Export(US$ Mil),21.17881798
Afghanistan,2018,World,Fuels,Export,Export(US$ Mil),178.7804163
Afghanistan,2018,World,Chemicals,Export,Export(US$ Mil),5.62235474
Afghanistan,2018,World,Plastic or Rubber,Export,Export(US$ Mil),0.31880916
Afghanistan,2018,World,Hides and Skins,Export,Export(US$ Mil),30.22669386
Afghanistan,2018,World,Wood,Export,Export(US$ Mil),0.98920278
Afghanistan,2018,World,Textiles and Clothing,Export,Export(US$ Mil),115.8252743
Afghanistan,2018,World,Footwear,Export,Export(US$ Mil),0.2713834
Afghanistan,2018,World,Stone and Glass,Export,Export(US$ Mil),0.32064144
Afghanistan,2018,World,Metals,Export,Export(US$ Mil),8.90596962
Afghanistan,2018,World,Mach and Elec,Export,Export(US$ Mil),2.77823328
Afghanistan,2018,World,Transportation,Export,Export(US$ Mil),4.57134558
Afghanistan,2018,World,Miscellaneous,Export,Export(US$ Mil),1.82291912
Afghanistan,2018,World,Raw materials,Export,Export(US$ Mil),997.8395042
Afghanistan,2018,World,Intermediate goods,Export,Export(US$ Mil),47.25747012
Afghanistan,2018,World,Consumer goods,Export,Export(US$ Mil),113.0134534
Afghanistan,2018,World,Capital goods,Export,Export(US$ Mil),3.26345208
Afghanistan,2018,World,Raw materials,Import,Import(US$ Mil),1979.360271
Afghanistan,2018,World,Intermediate goods,Import,Import(US$ Mil),4853.140155
Afghanistan,2018,World,Consumer goods,Import,Import(US$ Mil),2753.459518
Afghanistan,2018,World,Capital goods,Import,Import(US$ Mil),1887.155299
Afghanistan,2018,World,All Products,Export,Exports (in US$ Mil),1769.008993
Afghanistan,2018,World,All Products,Import,Imports (in US$ Mil),14813.18065
Afghanistan,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30136.17018
Afghanistan,2018,...,...,Development,GDP (current US$ Mil),19362.96958
Afghanistan,2018,...,...,Tariff,No. Of Tariff Agreement,2
Afghanistan,2018,...,...,Import,No. Of Import partners,104
Afghanistan,2018,...,...,Import,No. Of Import products,331
Afghanistan,2018,...,...,Export,No. Of Export partners,62
Afghanistan,2018,...,...,Export,No. Of Export products,156
Afghanistan,2018,...,...,Others,Population,37172386
Afghanistan,2018,...,...,Others,Ease of Doing Business Rank,183
Afghanistan,2018,...,...,Others,Trading Across Borders Rank,175
Afghanistan,2018,...,...,Others,CPIA Trade Ratings,3.5
Afghanistan,2016,...,...,Others,LPI Rank,150
Afghanistan,2016,...,...,Others,LPI Score,2.141282
Afghanistan,2012,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1328
Afghanistan,2012,...,...,Others,No Of NTM Measures,30
Afghanistan,2018,Pakistan,All Products,Export,Partner share(%)-Top 5 Export Partner,42.8612
Afghanistan,2018,India,All Products,Export,Partner share(%)-Top 5 Export Partner,40.6408
Afghanistan,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,3.212
Afghanistan,2018,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,2.4896
Afghanistan,2018,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,2.2916
Afghanistan,2018,"Iran, Islamic Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,17.0681
Afghanistan,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.7418
Afghanistan,2018,Pakistan,All Products,Import,Partner share(%)-Top 5 Import Partner,14.6741
Afghanistan,2018,Kazakhstan,All Products,Import,Partner share(%)-Top 5 Import Partner,10.6764
Afghanistan,2018,Uzbekistan,All Products,Import,Partner share(%)-Top 5 Import Partner,7.4791
Afghanistan,2018,World,Animal,Export,Export Product share(%),0.5454
Afghanistan,2018,World,Vegetable,Export,Export Product share(%),77.7011
Afghanistan,2018,World,Food Products,Export,Export Product share(%),0.7467
Afghanistan,2018,World,Minerals,Export,Export Product share(%),1.1972
Afghanistan,2018,World,Fuels,Export,Export Product share(%),10.1062
Afghanistan,2018,World,Chemicals,Export,Export Product share(%),0.3178
Afghanistan,2018,World,Plastic or Rubber,Export,Export Product share(%),0.018
Afghanistan,2018,World,Hides and Skins,Export,Export Product share(%),1.7087
Afghanistan,2018,World,Wood,Export,Export Product share(%),0.0559
Afghanistan,2018,World,Textiles and Clothing,Export,Export Product share(%),6.5475
Afghanistan,2018,World,Footwear,Export,Export Product share(%),0.0153
Afghanistan,2018,World,Stone and Glass,Export,Export Product share(%),0.0181
Afghanistan,2018,World,Metals,Export,Export Product share(%),0.5034
Afghanistan,2018,World,Mach and Elec,Export,Export Product share(%),0.1571
Afghanistan,2018,World,Transportation,Export,Export Product share(%),0.2584
Afghanistan,2018,World,Miscellaneous,Export,Export Product share(%),0.103
Afghanistan,2018,World,Raw materials,Export,Export Product share(%),56.4067
Afghanistan,2018,World,Intermediate goods,Export,Export Product share(%),2.6714
Afghanistan,2018,World,Consumer goods,Export,Export Product share(%),6.3885
Afghanistan,2018,World,Capital goods,Export,Export Product share(%),0.1845
Afghanistan,2018,World,Raw materials,Import,Import Product share(%),13.3622
Afghanistan,2018,World,Intermediate goods,Import,Import Product share(%),32.7623
Afghanistan,2018,World,Consumer goods,Import,Import Product share(%),18.5879
Afghanistan,2018,World,Capital goods,Import,Import Product share(%),12.7397
Afghanistan,2018,World,Raw materials,Tariff,Weighted Average (%),5.857194487
Afghanistan,2018,World,Intermediate goods,Tariff,Weighted Average (%),5.937617899
Afghanistan,2018,World,Consumer goods,Tariff,Weighted Average (%),6.044967997
Afghanistan,2018,World,Capital goods,Tariff,Weighted Average (%),4.504198814
Afghanistan,2018,World,All Products,Trade Indicator,World Growth (%),3.499290229
Afghanistan,2018,World,All Products,Trade Indicator,Country Growth (%),11.37955283
Afghanistan,2018,World,All Products,Tariff,Simple Average (%),8.376450298
Afghanistan,2018,World,All Products,Tariff,Weighted Average (%),5.627902457
Afghanistan,2018,World,All Products,Tariff,Maximum Rate (%),50
Afghanistan,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0.521027168
Afghanistan,2018,...,...,Trade Indicator,Index of export market penetration,1.978078993
Afghanistan,2018,...,...,Trade Indicator,HH Market concentration index,0.309723544
Afghanistan,2018,...,...,Development,Trade in services (% of GDP),10.97609813
Afghanistan,2018,...,...,Development,"GNI per capita, Atlas method (current US$)",550
Angola,2018,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22203.61683
Angola,2018,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3529.714995
Angola,2018,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1496.084508
Angola,2018,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1099.716484
Angola,2018,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1075.868054
Angola,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2307.384367
Angola,2018,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2185.165176
Angola,2018,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1813.289991
Angola,2018,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1006.954341
Angola,2018,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,958.0179288
Angola,2018,World,Animal,Export,Export(US$ Mil),52.30914437
Angola,2018,World,Vegetable,Export,Export(US$ Mil),12.48613397
Angola,2018,World,Food Products,Export,Export(US$ Mil),39.23194918
Angola,2018,World,Minerals,Export,Export(US$ Mil),32.55479182
Angola,2018,World,Fuels,Export,Export(US$ Mil),36235.92377
Angola,2018,World,Chemicals,Export,Export(US$ Mil),14.48804439
Angola,2018,World,Plastic or Rubber,Export,Export(US$ Mil),8.69692824
Angola,2018,World,Hides and Skins,Export,Export(US$ Mil),0.25071103
Angola,2018,World,Wood,Export,Export(US$ Mil),28.06107241
Angola,2018,World,Textiles and Clothing,Export,Export(US$ Mil),1.37256913
Angola,2018,World,Footwear,Export,Export(US$ Mil),7.22238526
Angola,2018,World,Stone and Glass,Export,Export(US$ Mil),1012.12146
Angola,2018,World,Metals,Export,Export(US$ Mil),44.96313865
Angola,2018,World,Mach and Elec,Export,Export(US$ Mil),127.1544392
Angola,2018,World,Transportation,Export,Export(US$ Mil),15.27205214
Angola,2018,World,Miscellaneous,Export,Export(US$ Mil),52.57406826
Angola,2018,World,Raw materials,Export,Export(US$ Mil),35226.17315
Angola,2018,World,Intermediate goods,Export,Export(US$ Mil),237.0356625
Angola,2018,World,Consumer goods,Export,Export(US$ Mil),2031.889237
Angola,2018,World,Capital goods,Export,Export(US$ Mil),157.7763673
Angola,2018,World,Raw materials,Import,Import(US$ Mil),1287.166145
Angola,2018,World,Intermediate goods,Import,Import(US$ Mil),2519.390443
Angola,2018,World,Consumer goods,Import,Import(US$ Mil),6491.192783
Angola,2018,World,Capital goods,Import,Import(US$ Mil),5295.483447
Angola,2018,World,All Products,Export,Exports (in US$ Mil),37684.68265
Angola,2018,World,All Products,Import,Imports (in US$ Mil),16353.06072
Angola,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3024188.45
Angola,2018,...,...,Development,GDP (current US$ Mil),105750.9876
Angola,2018,...,...,Tariff,No. Of Tariff Agreement,1
Angola,2018,...,...,Import,No. Of Import partners,183
Angola,2018,...,...,Import,No. Of Import products,4075
Angola,2018,...,...,Export,No. Of Export partners,138
Angola,2018,...,...,Export,No. Of Export products,2161
Angola,2018,...,...,Others,Population,30809762
Angola,2018,...,...,Others,Ease of Doing Business Rank,175
Angola,2018,...,...,Others,Trading Across Borders Rank,180
Angola,2013,...,...,Others,CPIA Trade Ratings,3.5
Angola,2016,...,...,Others,LPI Rank,139
Angola,2016,...,...,Others,LPI Score,2.241183
Angola,2018,China,All Products,Export,Partner share(%)-Top 5 Export Partner,58.9195
Angola,2018,India,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3664
Angola,2018,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,3.97
Angola,2018,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,2.9182
Angola,2018,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,2.8549
Angola,2018,China,All Products,Import,Partner share(%)-Top 5 Import Partner,14.1098
Angola,2018,Portugal,All Products,Import,Partner share(%)-Top 5 Import Partner,13.3624
Angola,2018,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,11.0884
Angola,2018,Belgium,All Products,Import,Partner share(%)-Top 5 Import Partner,6.1576
Angola,2018,Togo,All Products,Import,Partner share(%)-Top 5 Import Partner,5.8583
Angola,2018,World,Animal,Export,Export Product share(%),0.1388
Angola,2018,World,Vegetable,Export,Export Product share(%),0.0331
Angola,2018,World,Food Products,Export,Export Product share(%),0.1041
Angola,2018,World,Minerals,Export,Export Product share(%),0.0864
Angola,2018,World,Fuels,Export,Export Product share(%),96.1556
Angola,2018,World,Chemicals,Export,Export Product share(%),0.0384
Angola,2018,World,Plastic or Rubber,Export,Export Product share(%),0.0231
Angola,2018,World,Hides and Skins,Export,Export Product share(%),0.0007
Angola,2018,World,Wood,Export,Export Product share(%),0.0745
Angola,2018,World,Textiles and Clothing,Export,Export Product share(%),0.0036
Angola,2018,World,Footwear,Export,Export Product share(%),0.0192
Angola,2018,World,Stone and Glass,Export,Export Product share(%),2.6858
Angola,2018,World,Metals,Export,Export Product share(%),0.1193
Angola,2018,World,Mach and Elec,Export,Export Product share(%),0.3374
Angola,2018,World,Transportation,Export,Export Product share(%),0.0405
Angola,2018,World,Miscellaneous,Export,Export Product share(%),0.1395
Angola,2018,World,Raw materials,Export,Export Product share(%),93.4761
Angola,2018,World,Intermediate goods,Export,Export Product share(%),0.629
Angola,2018,World,Consumer goods,Export,Export Product share(%),5.3918
Angola,2018,World,Capital goods,Export,Export Product share(%),0.4187
Angola,2018,World,Raw materials,Import,Import Product share(%),7.8711
Angola,2018,World,Intermediate goods,Import,Import Product share(%),15.4062
Angola,2018,World,Consumer goods,Import,Import Product share(%),39.6941
Angola,2018,World,Capital goods,Import,Import Product share(%),32.3822
Angola,2018,World,Raw materials,Tariff,Weighted Average (%),11.27042636
Angola,2018,World,Intermediate goods,Tariff,Weighted Average (%),6.299638589
Angola,2018,World,Consumer goods,Tariff,Weighted Average (%),11.44983391
Angola,2018,World,Capital goods,Tariff,Weighted Average (%),2.348228662
Angola,2018,World,All Products,Trade Indicator,World Growth (%),3.499290229
Angola,2018,World,All Products,Trade Indicator,Country Growth (%),10.62557717
Angola,2018,World,All Products,Tariff,Simple Average (%),8.535865601
Angola,2018,World,All Products,Tariff,Weighted Average (%),7.680441837
Angola,2018,World,All Products,Tariff,Maximum Rate (%),70
Angola,2018,World,All Products,Tariff,Duty Free Tariff Lines Share (%),39.54842263
Angola,2018,...,...,Trade Indicator,Index of export market penetration,1.828528192
Angola,2018,...,...,Trade Indicator,HH Market concentration index,0.342379
Angola,2018,...,...,Development,Trade in services (% of GDP),10.13761953
Angola,2018,...,...,Development,"GNI per capita, Atlas method (current US$)",3370
Anguila,2008,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.389743
Anguila,2008,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.304281
Anguila,2008,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.952128
Anguila,2008,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.212417
Anguila,2008,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.139311
Anguila,2008,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,161.476651
Anguila,2008,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,39.319002
Anguila,2008,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20.520786
Anguila,2008,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.715468
Anguila,2008,Guyana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.406214
Anguila,2008,World,Animal,Export,Export(US$ Mil),0.052592
Anguila,2008,World,Vegetable,Export,Export(US$ Mil),0.001725
Anguila,2008,World,Food Products,Export,Export(US$ Mil),4.725965
Anguila,2008,World,Minerals,Export,Export(US$ Mil),
Anguila,2008,World,Fuels,Export,Export(US$ Mil),0.043337
Anguila,2008,World,Chemicals,Export,Export(US$ Mil),0.033778
Anguila,2008,World,Plastic or Rubber,Export,Export(US$ Mil),0.069149
Anguila,2008,World,Hides and Skins,Export,Export(US$ Mil),
Anguila,2008,World,Wood,Export,Export(US$ Mil),0.020587
Anguila,2008,World,Textiles and Clothing,Export,Export(US$ Mil),0.085517
Anguila,2008,World,Footwear,Export,Export(US$ Mil),0.005484
Anguila,2008,World,Stone and Glass,Export,Export(US$ Mil),2.238042
Anguila,2008,World,Metals,Export,Export(US$ Mil),0.84706
Anguila,2008,World,Mach and Elec,Export,Export(US$ Mil),1.740511
Anguila,2008,World,Transportation,Export,Export(US$ Mil),1.260595
Anguila,2008,World,Miscellaneous,Export,Export(US$ Mil),0.350199
Anguila,2008,World,Raw materials,Export,Export(US$ Mil),0.058501
Anguila,2008,World,Intermediate goods,Export,Export(US$ Mil),0.439131
Anguila,2008,World,Consumer goods,Export,Export(US$ Mil),7.223365
Anguila,2008,World,Capital goods,Export,Export(US$ Mil),1.30121
Anguila,2008,World,Raw materials,Import,Import(US$ Mil),7.502538
Anguila,2008,World,Intermediate goods,Import,Import(US$ Mil),30.579314
Anguila,2008,World,Consumer goods,Import,Import(US$ Mil),128.807274
Anguila,2008,World,Capital goods,Import,Import(US$ Mil),31.423977
Anguila,2008,World,All Products,Export,Exports (in US$ Mil),11.47454
Anguila,2008,World,All Products,Import,Imports (in US$ Mil),271.7444
Anguila,2008,...,...,Import,No. Of Import partners,87
Anguila,2008,...,...,Import,No. Of Import products,1623
Anguila,2008,...,...,Export,No. Of Export partners,26
Anguila,2008,...,...,Export,No. Of Export products,277
Anguila,2008,Guyana,All Products,Export,Partner share(%)-Top 5 Export Partner,38.2564
Anguila,2008,Netherlands Antilles,All Products,Export,Partner share(%)-Top 5 Export Partner,37.5116
Anguila,2008,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,17.0127
Anguila,2008,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,1.8512
Anguila,2008,France,All Products,Export,Partner share(%)-Top 5 Export Partner,1.2141
Anguila,2008,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,59.4223
Anguila,2008,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,14.4691
Anguila,2008,Netherlands Antilles,All Products,Import,Partner share(%)-Top 5 Import Partner,7.5515
Anguila,2008,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,2.1033
Anguila,2008,Guyana,All Products,Import,Partner share(%)-Top 5 Import Partner,1.9894
Anguila,2008,World,Animal,Export,Export Product share(%),0.4583
Anguila,2008,World,Vegetable,Export,Export Product share(%),0.015
Anguila,2008,World,Food Products,Export,Export Product share(%),41.1865
Anguila,2008,World,Minerals,Export,Export Product share(%),
Anguila,2008,World,Fuels,Export,Export Product share(%),0.3777
Anguila,2008,World,Chemicals,Export,Export Product share(%),0.2944
Anguila,2008,World,Plastic or Rubber,Export,Export Product share(%),0.6026
Anguila,2008,World,Hides and Skins,Export,Export Product share(%),
Anguila,2008,World,Wood,Export,Export Product share(%),0.1794
Anguila,2008,World,Textiles and Clothing,Export,Export Product share(%),0.7453
Anguila,2008,World,Footwear,Export,Export Product share(%),0.0478
Anguila,2008,World,Stone and Glass,Export,Export Product share(%),19.5044
Anguila,2008,World,Metals,Export,Export Product share(%),7.3821
Anguila,2008,World,Mach and Elec,Export,Export Product share(%),15.1685
Anguila,2008,World,Transportation,Export,Export Product share(%),10.986
Anguila,2008,World,Miscellaneous,Export,Export Product share(%),3.052
Anguila,2008,World,Raw materials,Export,Export Product share(%),0.5098
Anguila,2008,World,Intermediate goods,Export,Export Product share(%),3.827
Anguila,2008,World,Consumer goods,Export,Export Product share(%),62.9512
Anguila,2008,World,Capital goods,Export,Export Product share(%),11.34
Anguila,2008,World,Raw materials,Import,Import Product share(%),2.7609
Anguila,2008,World,Intermediate goods,Import,Import Product share(%),11.253
Anguila,2008,World,Consumer goods,Import,Import Product share(%),47.4002
Anguila,2008,World,Capital goods,Import,Import Product share(%),11.5638
Anguila,2008,World,All Products,Trade Indicator,World Growth (%),7.438488299
Anguila,2008,World,All Products,Trade Indicator,Country Growth (%),-4.906974313
Anguila,2008,...,...,Trade Indicator,Index of export market penetration,1.212105648
Anguila,2008,...,...,Trade Indicator,HH Market concentration index,0.190562766
Albania,2018,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1381.26165
Albania,2018,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,325.4259744
Albania,2018,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,223.9448946
Albania,2018,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,124.4805877
Albania,2018,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,121.4982128
Albania,2018,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1623.65504
Albania,2018,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,501.9416612
Albania,2018,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,498.5720593
Albania,2018,Greece,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,482.8043363
Albania,2018,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,459.373031
Albania,2018,World,Animal,Export,Export(US$ Mil),7.999251711
Albania,2018,World,Vegetable,Export,Export(US$ Mil),109.8514809
Albania,2018,World,Food Products,Export,Export(US$ Mil),107.182092
Albania,2018,World,Minerals,Export,Export(US$ Mil),139.1991306
Albania,2018,World,Fuels,Export,Export(US$ Mil),383.2652951
